dataset	method	param_name	param_value	recall	qps	source
hotpotqa	hnsw_sindi	point	200	0.98005	82.2541	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/hnsw_sindi.txt
hotpotqa	fhg	ef_search	20	0.6235	366.605	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/fhg.txt
hotpotqa	fhg	ef_search	40	0.73975	251.023	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/fhg.txt
hotpotqa	fhg	ef_search	60	0.7983	196.912	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/fhg.txt
hotpotqa	fhg	ef_search	100	0.855	138.131	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/fhg.txt
hotpotqa	fhg	ef_search	160	0.89665	94.9409	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/fhg.txt
hotpotqa	fhg	ef_search	200	0.91405	79.8421	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/fhg.txt
hotpotqa	uhg	ef_search	20	0.8028	290.237	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/uhg.txt
hotpotqa	uhg	ef_search	40	0.88585	205.857	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/uhg.txt
hotpotqa	uhg	ef_search	60	0.92225	156.213	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/uhg.txt
hotpotqa	uhg	ef_search	100	0.95515	113.798	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/uhg.txt
hotpotqa	uhg	ef_search	160	0.9734	81.173	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/uhg.txt
hotpotqa	uhg	ef_search	200	0.97855	66.541	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/hotpotqa/uhg.txt
dbpedia-entity	hnsw	point	20	0.559315	851.371	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	hnsw	point	40	0.720236	516.822	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	hnsw	point	60	0.786938	374.674	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	hnsw	point	100	0.842505	242.836	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	hnsw	point	160	0.885011	159.469	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	hnsw	point	200	0.899036	130.796	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	sindi	point	200	0.594111	610.712	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	sindi	point	300	0.631692	516.386	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	sindi	point	400	0.659101	446.663	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	sindi	point	600	0.695824	351.28	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	sindi	point	1000	0.732227	249.317	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	sindi	point	2000	0.781906	144.709	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	hnsw_sindi	point	20	0.708779	429.799	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	hnsw_sindi	point	30	0.799036	364.954	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	hnsw_sindi	point	40	0.84454	318.325	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	hnsw_sindi	point	60	0.891542	253.193	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	hnsw_sindi	point	100	0.931906	181.413	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	hnsw_sindi	point	200	0.965418	107.126	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	fhg	ef_search	20	0.72666	458.887	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	fhg	ef_search	40	0.817773	314.379	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	fhg	ef_search	60	0.848287	244.673	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	fhg	ef_search	100	0.88651	168.342	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	fhg	ef_search	160	0.914454	118.505	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	fhg	ef_search	200	0.927944	98.701	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	uhg	ef_search	20	0.823769	434.14	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/uhg.txt
dbpedia-entity	uhg	ef_search	40	0.894325	303.615	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/uhg.txt
dbpedia-entity	uhg	ef_search	60	0.931477	231.87	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/uhg.txt
dbpedia-entity	uhg	ef_search	100	0.955889	156.751	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/uhg.txt
dbpedia-entity	uhg	ef_search	160	0.970985	102.276	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/uhg.txt
dbpedia-entity	uhg	ef_search	200	0.977302	84.7426	/tbase-project/vsag/scripts/UHG/results_20/mixed_alpha/dbpedia-entity/uhg.txt
