recall_at	dataset	method	param_name	param_value	recall	qps	source
50	hotpotqa	fhg	ef_search	100	0.81998	162.945	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/hotpotqa/fhg.txt
50	hotpotqa	fhg	ef_search	150	0.8638	118.174	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/hotpotqa/fhg.txt
50	hotpotqa	fhg	ef_search	250	0.90548	77.8745	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/hotpotqa/fhg.txt
50	hotpotqa	fhg	ef_search	500	0.94392	43.0834	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/hotpotqa/fhg.txt
50	hotpotqa	uhg	ef_search	50	0.83332	208.25	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/hotpotqa/uhg.txt
50	hotpotqa	uhg	ef_search	100	0.91524	126.505	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/hotpotqa/uhg.txt
50	hotpotqa	uhg	ef_search	150	0.94422	92.6347	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/hotpotqa/uhg.txt
50	hotpotqa	uhg	ef_search	250	0.9672	60.125	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/hotpotqa/uhg.txt
50	hotpotqa	uhg	ef_search	500	0.98492	33.0595	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/hotpotqa/uhg.txt
50	msmarco	hnsw	point	50	0.60944	778.086	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw.txt
50	msmarco	hnsw	point	100	0.78062	460.101	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw.txt
50	msmarco	hnsw	point	150	0.83958	332.159	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw.txt
50	msmarco	hnsw	point	250	0.89282	214.207	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw.txt
50	msmarco	hnsw	point	400	0.922	140.914	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw.txt
50	msmarco	hnsw	point	500	0.93302	114.344	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw.txt
50	msmarco	sindi	point	500	0.7028	292.661	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/sindi.txt
50	msmarco	sindi	point	750	0.73564	237.959	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/sindi.txt
50	msmarco	sindi	point	1000	0.75706	203.387	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/sindi.txt
50	msmarco	sindi	point	1500	0.78488	155.325	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/sindi.txt
50	msmarco	sindi	point	2500	0.81378	105.708	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/sindi.txt
50	msmarco	sindi	point	5000	0.84968	59.1095	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/sindi.txt
50	msmarco	hnsw_sindi	point	50	0.7718	290.048	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw_sindi.txt
50	msmarco	hnsw_sindi	point	75	0.86232	253.242	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw_sindi.txt
50	msmarco	hnsw_sindi	point	100	0.902	225.443	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw_sindi.txt
50	msmarco	hnsw_sindi	point	150	0.93798	185.09	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw_sindi.txt
50	msmarco	hnsw_sindi	point	250	0.96454	136.274	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/hnsw_sindi.txt
50	msmarco	fhg	ef_search	50	0.59916	497.387	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/fhg.txt
50	msmarco	fhg	ef_search	100	0.7475	307.434	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/fhg.txt
50	msmarco	fhg	ef_search	150	0.7977	233.953	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/fhg.txt
50	msmarco	fhg	ef_search	250	0.86468	159.86	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/fhg.txt
50	msmarco	fhg	ef_search	500	0.91474	92.8968	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/fhg.txt
50	msmarco	uhg	ef_search	50	0.84566	393.826	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/uhg.txt
50	msmarco	uhg	ef_search	100	0.93318	268.289	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/uhg.txt
50	msmarco	uhg	ef_search	150	0.95562	203.783	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/uhg.txt
50	msmarco	uhg	ef_search	250	0.97228	137.993	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/uhg.txt
50	msmarco	uhg	ef_search	500	0.98414	75.7614	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/msmarco/uhg.txt
50	fever	hnsw	point	50	0.50452	375.604	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw.txt
50	fever	hnsw	point	100	0.65508	206.284	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw.txt
50	fever	hnsw	point	150	0.72422	143.776	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw.txt
50	fever	hnsw	point	250	0.79392	89.8794	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw.txt
50	fever	hnsw	point	400	0.844	58.3559	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw.txt
50	fever	hnsw	point	500	0.8643	47.6745	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw.txt
50	fever	sindi	point	500	0.83056	217.653	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/sindi.txt
50	fever	sindi	point	750	0.86334	184.56	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/sindi.txt
50	fever	sindi	point	1000	0.88452	158.812	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/sindi.txt
50	fever	sindi	point	1500	0.90688	125.125	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/sindi.txt
50	fever	sindi	point	2500	0.93144	87.3155	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/sindi.txt
50	fever	sindi	point	5000	0.95518	50.4487	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/sindi.txt
50	fever	hnsw_sindi	point	50	0.75646	173.765	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw_sindi.txt
50	fever	hnsw_sindi	point	75	0.84794	143.869	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw_sindi.txt
50	fever	hnsw_sindi	point	100	0.89176	123.727	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw_sindi.txt
50	fever	hnsw_sindi	point	150	0.93438	96.3125	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw_sindi.txt
