recall_at	dataset	method	point	recall	qps
10	fever	uhg	30	0.9233	247.325
10	fever	uhg	50	0.9505	181.195
10	fever	uhg	80	0.9688	129.649
10	fever	uhg	100	0.9751	107.557
20	nq	hnsw	20	0.55535	1001.21
20	nq	hnsw	40	0.714	602.905
20	nq	hnsw	60	0.78055	448.718
20	nq	hnsw	100	0.84355	296.994
20	nq	hnsw	160	0.88795	200.46
20	nq	hnsw	200	0.9055	165.069
20	nq	sindi	200	0.63255	440.476
20	nq	sindi	300	0.67145	386.746
20	nq	sindi	400	0.69755	344.063
20	nq	sindi	600	0.73125	280.618
20	nq	sindi	1000	0.76905	207.266
20	nq	sindi	2000	0.8097	124.856
20	nq	hnsw_sindi	20	0.72455	284.445
20	nq	hnsw_sindi	30	0.82235	247.928
20	nq	hnsw_sindi	40	0.87105	188.136
20	nq	hnsw_sindi	60	0.9172	182.615
20	nq	hnsw_sindi	100	0.9535	138.151
20	nq	hnsw_sindi	200	0.98085	89.6285
20	nq	fhg	20	0.67395	642.468
20	nq	fhg	40	0.7967	426.138
20	nq	fhg	60	0.8459	327.092
20	nq	fhg	100	0.8991	233.773
20	nq	fhg	160	0.93115	165.349
20	nq	fhg	200	0.942	139.581
20	nq	uhg	20	0.86125	478.868
20	nq	uhg	40	0.91765	332.592
20	nq	uhg	60	0.94335	261.417
20	nq	uhg	100	0.96515	182.836
20	nq	uhg	160	0.97925	125.547
20	nq	uhg	200	0.98365	104.976
20	hotpotqa	hnsw	20	0.44425	733.346
20	hotpotqa	hnsw	40	0.60375	437.567
20	hotpotqa	hnsw	60	0.6831	316.011
20	hotpotqa	hnsw	100	0.7703	204.953
20	hotpotqa	hnsw	160	0.83075	135.363
20	hotpotqa	hnsw	200	0.85495	111.52
20	hotpotqa	sindi	200	0.77845	314.322
20	hotpotqa	sindi	300	0.81675	283.123
20	hotpotqa	sindi	400	0.8411	259.311
20	hotpotqa	sindi	600	0.86935	218.46
20	hotpotqa	sindi	1000	0.8995	170.328
20	hotpotqa	sindi	2000	0.9298	109.148
20	hotpotqa	hnsw_sindi	20	0.6967	246.91
20	hotpotqa	hnsw_sindi	30	0.7961	217.948
20	hotpotqa	hnsw_sindi	40	0.8471	198.231
20	hotpotqa	hnsw_sindi	60	0.9013	166.475
20	hotpotqa	hnsw_sindi	100	0.9493	127.229
20	hotpotqa	hnsw_sindi	200	0.9795	81.3904
20	hotpotqa	fhg	20	0.628	465.037
20	hotpotqa	fhg	40	0.74455	303.29
20	hotpotqa	fhg	60	0.80085	229.204
20	hotpotqa	fhg	100	0.8529	159.144
20	hotpotqa	fhg	160	0.8988	109.363
20	hotpotqa	fhg	200	0.9166	91.0031
20	hotpotqa	uhg	20	0.7965	340.092
20	hotpotqa	uhg	40	0.8803	238.016
20	hotpotqa	uhg	60	0.9172	183.338
20	hotpotqa	uhg	100	0.9514	126.545
20	hotpotqa	uhg	160	0.97085	86.455
20	hotpotqa	uhg	200	0.9767	71.9002
20	dbpedia-entity	hnsw	20	0.558779	844.831
20	dbpedia-entity	hnsw	40	0.721092	513.131
20	dbpedia-entity	hnsw	60	0.789615	370.314
20	dbpedia-entity	hnsw	100	0.847216	240.26
20	dbpedia-entity	hnsw	160	0.891113	157.906
20	dbpedia-entity	hnsw	200	0.905353	129.237
20	dbpedia-entity	sindi	200	0.594861	610.31
20	dbpedia-entity	sindi	300	0.632441	513.907
20	dbpedia-entity	sindi	400	0.660385	446.269
20	dbpedia-entity	sindi	600	0.69636	350.756
20	dbpedia-entity	sindi	1000	0.733512	247.422
20	dbpedia-entity	sindi	2000	0.782334	144.171
20	dbpedia-entity	hnsw_sindi	20	0.707388	424.64
20	dbpedia-entity	hnsw_sindi	30	0.800428	359.023
20	dbpedia-entity	hnsw_sindi	40	0.844325	312.494
20	dbpedia-entity	hnsw_sindi	60	0.892077	248.659
20	dbpedia-entity	hnsw_sindi	100	0.933619	178.316
20	dbpedia-entity	hnsw_sindi	200	0.968094	104.5
20	dbpedia-entity	fhg	20	0.727944	602.959
20	dbpedia-entity	fhg	40	0.826552	383.787
20	dbpedia-entity	fhg	60	0.854818	289.232
20	dbpedia-entity	fhg	100	0.890257	195.554
20	dbpedia-entity	fhg	160	0.913062	133.696
20	dbpedia-entity	fhg	200	0.9303	110.425
20	dbpedia-entity	uhg	20	0.817559	448.391
20	dbpedia-entity	uhg	40	0.894325	294.42
20	dbpedia-entity	uhg	60	0.929229	217.286
20	dbpedia-entity	uhg	100	0.952034	149.623
20	dbpedia-entity	uhg	160	0.970664	99.5969
20	dbpedia-entity	uhg	200	0.977302	81.0568
20	fever	hnsw	20	0.51025	759.568
20	fever	hnsw	40	0.66745	450.874
20	fever	hnsw	60	0.7336	321.126
20	fever	hnsw	100	0.80325	204.947
20	fever	hnsw	160	0.85015	133.726
20	fever	hnsw	200	0.869	108.943
20	fever	sindi	200	0.86035	278.672
20	fever	sindi	300	0.88755	256.781
20	fever	sindi	400	0.90545	234.941
