dataset	method	param_name	param_value	recall	qps	source
hotpotqa	fhg	ef_search	500	0.92767	42.9828	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/fhg.txt
hotpotqa	fhg	ef_search	1000	0.95778	23.747	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/fhg.txt
hotpotqa	uhg	ef_search	100	0.85852	127.385	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/uhg.txt
hotpotqa	uhg	ef_search	200	0.93025	72.5668	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/uhg.txt
hotpotqa	uhg	ef_search	300	0.95545	51.4742	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/uhg.txt
hotpotqa	uhg	ef_search	500	0.97509	32.9591	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/uhg.txt
hotpotqa	uhg	ef_search	1000	0.98865	17.9064	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/hotpotqa/uhg.txt
msmarco	hnsw	point	100	0.61474	461.767	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
msmarco	hnsw	point	200	0.78564	259.931	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
msmarco	hnsw	point	300	0.84403	182.454	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
msmarco	hnsw	point	500	0.89329	114.651	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
msmarco	hnsw	point	800	0.92403	74.4222	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
msmarco	hnsw	point	1000	0.93501	60.551	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw.txt
msmarco	sindi	point	1000	0.69863	202.602	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/sindi.txt
msmarco	sindi	point	1500	0.73331	154.844	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/sindi.txt
msmarco	sindi	point	2000	0.75548	125.798	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/sindi.txt
msmarco	sindi	point	3000	0.78256	91.7847	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/sindi.txt
msmarco	sindi	point	5000	0.81473	59.5238	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/sindi.txt
msmarco	sindi	point	10000	0.85425	32.0885	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/sindi.txt
msmarco	hnsw_sindi	point	100	0.77605	223.93	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw_sindi.txt
msmarco	hnsw_sindi	point	150	0.86638	185.044	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw_sindi.txt
msmarco	hnsw_sindi	point	200	0.90536	156.685	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw_sindi.txt
msmarco	hnsw_sindi	point	300	0.93962	120.249	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw_sindi.txt
msmarco	hnsw_sindi	point	500	0.9663	82.5538	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/hnsw_sindi.txt
msmarco	fhg	ef_search	100	0.72346	305.951	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/fhg.txt
msmarco	fhg	ef_search	200	0.82103	189.767	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/fhg.txt
msmarco	fhg	ef_search	300	0.86656	139.646	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/fhg.txt
msmarco	fhg	ef_search	500	0.90528	93.3097	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/fhg.txt
msmarco	fhg	ef_search	1000	0.94332	51.513	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/fhg.txt
msmarco	uhg	ef_search	100	0.86541	268.882	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/uhg.txt
msmarco	uhg	ef_search	200	0.94397	164.118	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/uhg.txt
msmarco	uhg	ef_search	300	0.96255	118.337	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/uhg.txt
msmarco	uhg	ef_search	500	0.97565	75.0734	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/uhg.txt
msmarco	uhg	ef_search	1000	0.98637	39.5173	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/msmarco/uhg.txt
fever	hnsw	point	100	0.49394	206.837	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw.txt
fever	hnsw	point	200	0.64409	110.482	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw.txt
fever	hnsw	point	300	0.71621	76.0998	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw.txt
fever	hnsw	point	500	0.78786	47.5978	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw.txt
fever	hnsw	point	800	0.84116	31.037	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw.txt
fever	hnsw	point	1000	0.86191	25.3671	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw.txt
fever	sindi	point	1000	0.81031	158.643	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/sindi.txt
fever	sindi	point	1500	0.84507	124.714	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/sindi.txt
fever	sindi	point	2000	0.86694	102.547	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/sindi.txt
fever	sindi	point	3000	0.89344	76.3025	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/sindi.txt
fever	sindi	point	5000	0.92076	50.4108	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/sindi.txt
