recall_at	dataset	method	point	recall	qps
10	fever	hnsw_sindi	15	0.8549	198.497
10	fever	hnsw_sindi	20	0.8948	184.048
10	fever	hnsw_sindi	30	0.9341	170.617
10	fever	hnsw_sindi	50	0.9619	135.926
10	fever	hnsw_sindi	100	0.9833	92.5382
10	fever	fhg	10	0.1972	1376.54
10	fever	fhg	20	0.4119	615.327
10	fever	fhg	30	0.5452	413.452
10	fever	fhg	50	0.7101	257.557
10	fever	fhg	80	0.8289	171.022
10	fever	fhg	100	0.8692	140.961
10	fever	uhg	10	0.8141	328.321
10	fever	uhg	20	0.8963	261.466
10	fever	uhg	30	0.9235	191.643
10	fever	uhg	50	0.9511	126.588
10	fever	uhg	80	0.9696	93.6089
10	fever	uhg	100	0.9758	74.4005
20	nq	hnsw	20	0.55325	1004.96
20	nq	hnsw	40	0.70805	613.434
20	nq	hnsw	60	0.7729	444.776
20	nq	hnsw	100	0.8336	296.678
20	nq	hnsw	160	0.8774	201.062
20	nq	hnsw	200	0.89505	165.927
20	nq	sindi	200	0.6357	422.848
20	nq	sindi	300	0.67395	384.791
20	nq	sindi	400	0.6998	342.216
20	nq	sindi	600	0.73355	281.554
20	nq	sindi	1000	0.7704	206.204
20	nq	sindi	2000	0.8107	124.478
20	nq	hnsw_sindi	20	0.72595	355.322
20	nq	hnsw_sindi	30	0.82275	315.197
20	nq	hnsw_sindi	40	0.87035	284.114
20	nq	hnsw_sindi	60	0.91615	238.061
20	nq	hnsw_sindi	100	0.95135	183.308
20	nq	hnsw_sindi	200	0.9794	118.23
20	nq	fhg	20	0.6692	653.515
20	nq	fhg	40	0.78945	433.358
20	nq	fhg	60	0.8461	335.392
20	nq	fhg	100	0.89485	236.212
20	nq	fhg	160	0.92795	169.048
20	nq	fhg	200	0.9391	142.133
20	nq	uhg	20	0.86435	462.191
20	nq	uhg	40	0.9199	328.022
20	nq	uhg	60	0.94465	256.124
20	nq	uhg	100	0.9666	179.329
20	nq	uhg	160	0.9802	125.46
20	nq	uhg	200	0.98465	103.395
20	hotpotqa	hnsw	20	0.4456	732.119
20	hotpotqa	hnsw	40	0.604	437.016
20	hotpotqa	hnsw	60	0.68135	312.368
20	hotpotqa	hnsw	100	0.767	204.461
20	hotpotqa	hnsw	160	0.82595	134.833
20	hotpotqa	hnsw	200	0.84995	110.701
20	hotpotqa	sindi	200	0.77635	305.822
20	hotpotqa	sindi	300	0.81435	280.866
20	hotpotqa	sindi	400	0.83815	255.592
20	hotpotqa	sindi	600	0.8652	218.278
20	hotpotqa	sindi	1000	0.89515	169.795
20	hotpotqa	sindi	2000	0.92565	108.597
20	hotpotqa	hnsw_sindi	20	0.6997	243.497
20	hotpotqa	hnsw_sindi	30	0.79885	218.28
20	hotpotqa	hnsw_sindi	40	0.84945	197.358
20	hotpotqa	hnsw_sindi	60	0.90295	166.023
20	hotpotqa	hnsw_sindi	100	0.9499	126.104
20	hotpotqa	hnsw_sindi	200	0.98005	80.5977
20	hotpotqa	fhg	20	0.6235	471.029
20	hotpotqa	fhg	40	0.73975	301.066
20	hotpotqa	fhg	60	0.7983	228.784
20	hotpotqa	fhg	100	0.855	158.035
20	hotpotqa	fhg	160	0.89665	108.184
20	hotpotqa	fhg	200	0.91405	90.482
20	hotpotqa	uhg	20	0.8028	339.623
20	hotpotqa	uhg	40	0.88585	236.208
20	hotpotqa	uhg	60	0.92225	182.648
20	hotpotqa	uhg	100	0.95515	126.534
20	hotpotqa	uhg	160	0.9734	86.4711
20	hotpotqa	uhg	200	0.97855	71.396
20	msmarco	hnsw	20	0.5851	1378.79
20	msmarco	hnsw	40	0.76235	892.759
20	msmarco	hnsw	60	0.8259	675.084
20	msmarco	hnsw	100	0.8816	455.492
20	msmarco	hnsw	160	0.9167	310.437
20	msmarco	hnsw	200	0.92975	255.289
20	msmarco	sindi	200	0.7042	399.369
20	msmarco	sindi	300	0.73775	352.821
20	msmarco	sindi	400	0.75655	318.823
20	msmarco	sindi	600	0.7828	265.548
20	msmarco	sindi	1000	0.8103	198.475
20	msmarco	sindi	2000	0.84485	124.604
20	msmarco	hnsw_sindi	20	0.7527	356.811
20	msmarco	hnsw_sindi	30	0.8473	328.62
20	msmarco	hnsw_sindi	40	0.88705	307.245
20	msmarco	hnsw_sindi	60	0.92505	270.819
20	msmarco	hnsw_sindi	100	0.9574	221.28
20	msmarco	hnsw_sindi	200	0.9803	154.389
20	msmarco	fhg	20	0.3936	895.518
20	msmarco	fhg	40	0.5624	549.523
20	msmarco	fhg	60	0.65415	416.158
20	msmarco	fhg	100	0.75835	295.07
20	msmarco	fhg	160	0.8191	217.82
20	msmarco	fhg	200	0.8463	183.165
20	msmarco	uhg	20	0.7993	545.944
20	msmarco	uhg	40	0.90595	432.738
20	msmarco	uhg	60	0.93675	356.52
20	msmarco	uhg	100	0.95945	266.63
20	msmarco	uhg	160	0.97315	191.721
20	msmarco	uhg	200	0.9774	161.785
20	dbpedia-entity	hnsw	20	0.559315	841.906
20	dbpedia-entity	hnsw	40	0.720236	502.992
20	dbpedia-entity	hnsw	60	0.786938	362.464
20	dbpedia-entity	hnsw	100	0.842505	235.873
20	dbpedia-entity	hnsw	160	0.885011	156.506
20	dbpedia-entity	hnsw	200	0.899036	127.953
20	dbpedia-entity	sindi	200	0.594111	600.328
20	dbpedia-entity	sindi	300	0.631692	505.539
20	dbpedia-entity	sindi	400	0.659101	439.487
20	dbpedia-entity	sindi	600	0.695824	346.157
20	dbpedia-entity	sindi	1000	0.732227	243.666
20	dbpedia-entity	sindi	2000	0.781906	141.776
20	dbpedia-entity	hnsw_sindi	20	0.708779	425.036
20	dbpedia-entity	hnsw_sindi	30	0.799036	357.584
20	dbpedia-entity	hnsw_sindi	40	0.84454	310.975
20	dbpedia-entity	hnsw_sindi	60	0.891542	247.511
20	dbpedia-entity	hnsw_sindi	100	0.931906	176.722
20	dbpedia-entity	hnsw_sindi	200	0.965418	105.291
20	dbpedia-entity	fhg	20	0.72666	439.597
20	dbpedia-entity	fhg	40	0.817773	256.794
20	dbpedia-entity	fhg	60	0.848287	176.207
20	dbpedia-entity	fhg	100	0.88651	140.43
20	dbpedia-entity	fhg	160	0.914454	83.8154
20	dbpedia-entity	fhg	200	0.927944	73.1552
20	dbpedia-entity	uhg	20	0.823769	406.614
20	dbpedia-entity	uhg	40	0.894325	269.27
20	dbpedia-entity	uhg	60	0.931477	196.934
20	dbpedia-entity	uhg	100	0.955889	132.25
20	dbpedia-entity	uhg	160	0.970985	83.778
20	dbpedia-entity	uhg	200	0.977302	68.1308
20	fever	hnsw	20	0.5107	749.208
20	fever	hnsw	40	0.66605	443.143
20	fever	hnsw	60	0.7314	313.854
20	fever	hnsw	100	0.8003	202.132
20	fever	hnsw	160	0.8464	132.813
20	fever	hnsw	200	0.86515	107.963
20	fever	sindi	200	0.85775	280.805
20	fever	sindi	300	0.88405	256.236
20	fever	sindi	400	0.9027	235.233
20	fever	sindi	600	0.92245	201.841
20	fever	sindi	1000	0.94295	158.191
20	fever	sindi	2000	0.9618	101.752
20	fever	hnsw_sindi	20	0.7632	178.788
20	fever	hnsw_sindi	30	0.85425	164.645
20	fever	hnsw_sindi	40	0.89495	139.759
20	fever	hnsw_sindi	60	0.93465	107.382
20	fever	hnsw_sindi	100	0.9665	85.307
20	fever	hnsw_sindi	200	0.9853	52.3904
20	fever	fhg	20	0.393	597.579
20	fever	fhg	40	0.62445	312.654
20	fever	fhg	60	0.7454	218.101
20	fever	fhg	100	0.8559	141.344
20	fever	fhg	160	0.91725	95.8876
20	fever	fhg	200	0.9303	80.1026
20	fever	uhg	20	0.84145	249.98
20	fever	uhg	40	0.91685	169.201
20	fever	uhg	60	0.94355	129.049
20	fever	uhg	100	0.96585	86.0553
20	fever	uhg	160	0.9788	57.4751
20	fever	uhg	200	0.9839	48.2479
200	nq	hnsw	200	0.5377	164.957
200	nq	hnsw	400	0.699835	89.6824
200	nq	hnsw	600	0.772895	63.5183
200	nq	hnsw	1000	0.84377	40.559
200	nq	hnsw	1600	0.890885	26.9057
200	nq	hnsw	2000	0.908855	22.0828
200	nq	sindi	2000	0.636165	124.19
200	nq	sindi	3000	0.681445	88.7146
200	nq	sindi	4000	0.71282	69.1351
200	nq	sindi	6000	0.751995	48.071
200	nq	sindi	10000	0.79885	29.979
200	nq	sindi	20000	0.85095	15.5247
200	nq	hnsw_sindi	200	0.724225	118.737
200	nq	hnsw_sindi	300	0.826095	87.6157
200	nq	hnsw_sindi	400	0.878205	70.4241
200	nq	hnsw_sindi	600	0.92886	51.5896
200	nq	hnsw_sindi	1000	0.9656	33.7702
200	nq	fhg	200	0.834595	140.635
200	nq	fhg	400	0.89481	79.9498
200	nq	fhg	600	0.920845	56.0648
200	nq	fhg	1000	0.94616	35.8289
200	nq	fhg	2000	0.96904	19.654
200	nq	uhg	200	0.889685	105.105
200	nq	uhg	400	0.945535	58.1213
200	nq	uhg	600	0.96537	40.6841
200	nq	uhg	1000	0.981005	25.9726
200	nq	uhg	2000	0.992315	14.1323
200	hotpotqa	hnsw	200	0.49477	111.295
200	hotpotqa	hnsw	400	0.657925	59.6832
200	hotpotqa	hnsw	600	0.73669	41.6727
200	hotpotqa	hnsw	1000	0.81689	26.6379
200	hotpotqa	hnsw	1600	0.873355	17.6086
200	hotpotqa	hnsw	2000	0.89462	14.5134
200	hotpotqa	sindi	2000	0.7219	108.46
200	hotpotqa	sindi	3000	0.76623	79.815
200	hotpotqa	sindi	4000	0.79512	63.2509
200	hotpotqa	sindi	6000	0.83041	44.6856
200	hotpotqa	sindi	10000	0.868915	28.2905
200	hotpotqa	sindi	20000	0.910295	14.824
200	hotpotqa	hnsw_sindi	200	0.722345	80.8545
200	hotpotqa	hnsw_sindi	300	0.828065	60.0561
200	hotpotqa	hnsw_sindi	400	0.883745	48.0616
200	hotpotqa	hnsw_sindi	600	0.936635	34.8355
200	hotpotqa	hnsw_sindi	1000	0.9718	22.8024
200	hotpotqa	fhg	200	0.811285	90.8143
200	hotpotqa	fhg	400	0.88179	51.1519
200	hotpotqa	fhg	600	0.9132	36.259
200	hotpotqa	fhg	1000	0.94129	23.3445
200	hotpotqa	fhg	2000	0.966115	12.9585
200	hotpotqa	uhg	200	0.8764	71.875
200	hotpotqa	uhg	400	0.94123	39.3483
200	hotpotqa	uhg	600	0.963205	27.6096
200	hotpotqa	uhg	1000	0.980005	17.4167
200	hotpotqa	uhg	2000	0.99152	9.61545
200	msmarco	hnsw	200	0.616325	258.196
200	msmarco	hnsw	400	0.78463	138.163
200	msmarco	hnsw	600	0.84501	95.349
200	msmarco	hnsw	1000	0.8961	59.4813
200	msmarco	hnsw	1600	0.926335	38.4709
200	msmarco	hnsw	2000	0.938215	31.1845
200	msmarco	sindi	2000	0.69257	124.368
200	msmarco	sindi	3000	0.726575	90.2589
200	msmarco	sindi	4000	0.749795	71.296
200	msmarco	sindi	6000	0.77988	50.3456
200	msmarco	sindi	10000	0.815565	31.8561
200	msmarco	sindi	20000	0.858765	16.7838
200	msmarco	hnsw_sindi	200	0.777195	155.148
