dataset	method	param_name	param_value	recall	qps	source
nq	hnsw	point	50	0.54764	516.243	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	100	0.7037	301.574	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	150	0.77176	214.618	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	250	0.83516	138.614	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	400	0.8796	92.2144	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw.txt
nq	hnsw	point	500	0.89628	75.7089	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw.txt
nq	sindi	point	500	0.63672	310.345	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/sindi.txt
nq	sindi	point	750	0.67668	249.058	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/sindi.txt
nq	sindi	point	1000	0.70332	207.854	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/sindi.txt
nq	sindi	point	1500	0.73844	156.511	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/sindi.txt
nq	sindi	point	2500	0.7768	104.306	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/sindi.txt
nq	sindi	point	5000	0.8282	57.2536	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/sindi.txt
nq	hnsw_sindi	point	50	0.72528	262.984	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	75	0.82218	217.687	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	100	0.86916	186.561	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	150	0.91874	145.811	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw_sindi.txt
nq	hnsw_sindi	point	250	0.95536	102.798	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/hnsw_sindi.txt
nq	fhg	ef_search	50	0.77798	381.278	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/fhg.txt
nq	fhg	ef_search	100	0.86068	242.888	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/fhg.txt
nq	fhg	ef_search	150	0.89612	179.84	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/fhg.txt
nq	fhg	ef_search	250	0.9264	120.834	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/fhg.txt
nq	fhg	ef_search	500	0.95654	67.2215	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/fhg.txt
nq	uhg	ef_search	50	0.87388	299.005	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/uhg.txt
nq	uhg	ef_search	100	0.93204	184.444	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/uhg.txt
nq	uhg	ef_search	150	0.9552	134.923	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/uhg.txt
nq	uhg	ef_search	250	0.97372	88.4428	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/nq/uhg.txt
